Program Facility Name_x,Locality_x,County_x,Contributing Factor_x,Source_x,Material Name_x,Material Family_x,Year_x,Unrecovered Amount_x,Program Facility Name_y
CON ED FEEDER LINE 38W41/41,Other,Westchester,Equipment Failure,Unknown,dielectric fluid,Petroleum,2017.0,1025.0,CON ED FEEDER LINE 38W41/41
CON ED FEEDER M-52,Other,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2013.0,310.0,CON ED FEEDER M-52
CON ED FEEDER M-52,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2019.0,8810.0,CON ED FEEDER M-52
CON ED FEEDER M51,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2020.0,1769.0,CON ED FEEDER M51
CON ED FEEDER M51,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2020.0,1134.0,CON ED FEEDER M51
CON ED FEEDER M52 IN MH 10563,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,2529.0,CON ED FEEDER M52 IN MH 10563
CON ED FEEDER M52 WEST 49TH SUBSTATION,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2012.0,6462.0,CON ED FEEDER M52 WEST 49TH SUBSTATION
CON ED FEEDER M52,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,360.0,CON ED FEEDER M52
CON ED FEEDER M52,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,1239.0,CON ED FEEDER M52
CON ED FEEDER MIDDLE OF STREET,QUEENS,Queens,Equipment Failure,Unknown,dielectric fluid,Petroleum,2015.0,900.0,CON ED FEEDER MIDDLE OF STREET
CON ED FEEDER Q35L MANHOLE 6186,MANHATTAN,New York,Equipment Failure,Transformer,transformer oil,Petroleum,2022.0,3000.0,CON ED FEEDER Q35L MANHOLE 6186
CON ED FEEDER Q35M,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,3000.0,CON ED FEEDER Q35M
CON ED FEEDER SPILL,QUEENS,Queens,Equipment Failure,"Institutional, Educational, Gov., Other",dielectric fluid,Petroleum,2011.0,1500.0,CON ED FEEDER SPILL
CON ED FEEDER TO WESTCHESTER,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,transformer oil,Petroleum,2019.0,450.0,CON ED FEEDER TO WESTCHESTER
CON ED FEEDER Y49,NEW ROCHELLE,Westchester,Other,"Institutional, Educational, Gov., Other",dielectric fluid,Petroleum,2021.0,4790.0,CON ED FEEDER Y49
CON ED FEEDER Y50  MH 10804,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2021.0,600.0,CON ED FEEDER Y50  MH 10804
CON ED FEEDER Y50,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,1973.0,CON ED FEEDER Y50
CON ED FEEDER Y50,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,1790.0,CON ED FEEDER Y50
CON ED FEEDER Y50,YONKERS,Westchester,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,1700.0,CON ED FEEDER Y50
CON ED FEEDER Y50,MOUNT VERNON,Westchester,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,739.0,CON ED FEEDER Y50
CON ED FEEDER Y50,MOUNT VERNON,Westchester,Equipment Failure,Transformer,dielectric fluid,Petroleum,2023.0,6225.0,CON ED FEEDER Y50
CON ED FEEDER,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2015.0,260.0,CON ED FEEDER
CON ED FEEDER,BROOKLYN,Kings,Equipment Failure,Transformer,dielectric fluid,Petroleum,2020.0,687.0,CON ED FEEDER
CON ED FEEDER,YONKERS,New York,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2021.0,290.0,CON ED FEEDER
CON ED FEEDER,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2019.0,245.0,CON ED FEEDER
CON ED FEEDER,QUEENS,Queens,Equipment Failure,Commercial Vehicle,transformer oil,Petroleum,2015.0,230.0,CON ED FEEDER
CON ED LINE FEEDER X28 MH 7548,MOUNT VERNON,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2021.0,1075.0,CON ED LINE FEEDER X28 MH 7548
CON ED M 52 FEEDER,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2015.0,150.0,CON ED M 52 FEEDER
CON ED M-51 LEAK,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2018.0,230.0,CON ED M-51 LEAK
CON ED M-51,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2018.0,685.0,CON ED M-51
CON ED M52 FEEDER LEAK,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2021.0,1133.0,CON ED M52 FEEDER LEAK
CON ED M52 FEEDER,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2018.0,300.0,CON ED M52 FEEDER
CON ED MANHOLE 61680,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2019.0,600.0,CON ED MANHOLE 61680
CON ED MANHOLE 61680,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2019.0,600.0,CON ED MANHOLE 61680
CON ED MANHOLE FEEDER LEAK M10335,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2020.0,189.0,CON ED MANHOLE FEEDER LEAK M10335
CON ED MANHOLE TM10812,MOUNT VERNON,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2014.0,300.0,CON ED MANHOLE TM10812
CON ED MANHOLE,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2021.0,255.0,CON ED MANHOLE
CON ED MH  5008,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2024.0,100.0,CON ED MH  5008
CON ED MH 10300,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2014.0,1600.0,CON ED MH 10300
CON ED MH 10340 M51/M52,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2014.0,700.0,CON ED MH 10340 M51/M52
CON ED MH 11229 FEEDER 72,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2018.0,300.0,CON ED MH 11229 FEEDER 72
CON ED O/H TRANSFORMER,Other,Westchester,Storm,Transformer,transformer oil,Petroleum,2018.0,138.0,CON ED O/H TRANSFORMER
CON ED O/H TRANSFORMERS (2),Other,Westchester,Storm,Transformer,transformer oil,Petroleum,2019.0,140.0,CON ED O/H TRANSFORMERS (2)
CON ED POLE,Other,Westchester,Other,Commercial/Industrial,transformer oil,Petroleum,2006.0,200.0,CON ED POLE
CON ED PROPERTY-FEEDER LEAK,STATEN ISLAND,Richmond,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2023.0,1678.0,CON ED PROPERTY-FEEDER LEAK
CON ED RAINEY SUB STATION,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2009.0,100.0,CON ED RAINEY SUB STATION
CON ED RAINEY SUBSTATION BROOKLYN TO QUEENS,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2019.0,2400.0,CON ED RAINEY SUBSTATION BROOKLYN TO QUEENS
CON ED RAINEY SUBSTATION,QUEENS,Queens,Unknown,Commercial/Industrial,lead,Hazardous Material,2019.0,229.0,CON ED RAINEY SUBSTATION
CON ED SPRAIN BROOK FEEDER M52,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,1990.0,CON ED SPRAIN BROOK FEEDER M52
CON ED SUB STATION,MOUNT VERNON,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,1000.0,CON ED SUB STATION
CON ED SUB STATION,MOUNT VERNON,Westchester,Equipment Failure,Commercial/Industrial,transformer oil,Petroleum,2022.0,850.0,CON ED SUB STATION
CON ED SUB STATION,Other,Rockland,Other,Commercial/Industrial,transformer oil,Petroleum,2016.0,295.0,CON ED SUB STATION
